ID,text,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,neutral
Sent-117,"""قريبا النجمة الذهبية #نوال_الزغبي على غلاف مجلة ليالي عمان في حوار شيق ومطول نتطرق فيه لأمور عدة! #سلطان_أبو_طير… https://t.co/7qVAHXaMVg""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sent-1492,"""Retweeted الخارجية الأمريكية (@USAbilAraby):الوزير #كيري: أرحب بإعلان كافة الأطراف في #اليمن التزامها بتجديد... https://t.co/sDN2EINzXC""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sent-1431,#عائشة_حارب تشارك مدار تجربتها المميزة في التطوع 😍 https://t.co/ltHYm6NxBj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-01530,الأيام العشر المباركة من هذا الشهر الفضيل يتضاعف فيها الأجر فماذا لو كان من أجل سعادة طفل ننتظر تبرعكم لصالح معرض #بسمة_عيد_10 ❤️,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sent-1047,المجلس المركزي لاتحاد عمال العراق يقرر بأجراء الانتخابات العمالية في منتصف شهر الواحد لسنة ٢٠١٨ وذلك لإنتهاء الدو… https://t.co/5Lbcwcfn3t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sent-806,"""قال رسول الله صلى الله عليه وسلم :«الصلوات الخمس، والجمعة إلى الجمعة، ورمضان إلى رمضان، مكفرات ما بينهم إذا اجتنبت الكبائر» #نشر_سيرته #ﷺ""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-01700,أقسى شعور يراودك وأنت مخذول 💔 إننك على كثر الوجع كنت طيب,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Sent-703,"""#الجيش_السوري يحرر بشكل كامل #السكن_الشبابي المحاذي للبحوث العلمية في الأحياء الشرقية""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-03807,لا شيء أجمل من غسل الحزن بإبتسامة وإطفاء الضيق بالاستغفار ابتسم ليس بالضرورة فرحا وإنما ثقة وتفاؤل بأن الله لن يخيب ظنك 🌺 صباح التفاؤل,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-03130,ربنا ده كريم أوي يقطع من هنا و يوصل من هنا\nزي مابنلاقي حد كل همه أنه يعد أخطائنا\nهتلاقي اللي يطبطب عليك\n و يديك الثقه اللي تعزز نفسك\n#سعادة,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-03562,تعبت من التوتر اتمنى انام واصحى بعد ماتنتهي و اشوف الثانيه عشر رافعها راموس,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-Ar-01824,@ahmedkhalel855 هو انا معي مصاري وموفرة يا حسرة 😭💔\nشو اللي جابرك عالمر ! الامرّ منه 😂😪,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Sent-919,"""“ديلى ميل”: ترامب سينقل السفارة الأمريكية من “تل أبيب” إلى #القدس  https://t.co/4WlWa1M97X""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-02403,لما اشوف تشكيلة #يوفنتوس و بنش الاحتياط ارتاح قليلا لكن بمجرد تذكر تعادلنا مع أتلنتا و أودينيزي انزعج و اتضايق كل ما أخشاه تهور اللغري,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2018-Ar-01253,واحد من اخواني يحب يزعج اللي نايمين المهم قبل شوي لقيته نايم وازعجته ازعاج بسيط جدا وهددني انه بكره اول م يصحى بينكد علي بنومتي,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-Ar-02223,انا اكتر حاجه بكرها اني اكون سبب في زعل حد خوفي من انه ميسامحنيش دي بترعبني,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-Ar-00851,أحببتك بقلب طفله يخشى افتقادك و بقلب عاشق لا يريد غيرك❤️❤️ 👶 🏾,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sent-661,"""#الاتحاد #الاهلي “القطرية ” تلزم برشلونة باللعب أمام الأهلي https://t.co/KPBNE3CGtE #النصر #الهلال""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sent-1001,أهم الأنباء 1989📺 https://t.co/4RtNEBoWpP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sent-789,"""@EdSamuelFCO    و وقوفكم مع جبهة النصرة هل في الجانب الصح من التاريخ !""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-01814,بتشتري ثياب كل شهر عا قد راتبي ؟ اي شو بدنا نأكل 😠,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-Ar-01904,فوق ماهو #أمان يجمع كل شعور حلو,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-03096,إي أزعجيني في المحبة لين أعيش بك وأدمن على إزعاجك,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2018-Ar-03522,@ask_182 تخيلي قايلتها قبل ما ادخل الاختبار الثاني زين ما ذبحتها 😤👊🏼,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sent-205,"""@MusicArabi اسلوب جستن بيبر ؟؟؟""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-03752,افكر كيف اصير تاجر 😊 - يشعر بالتفاؤل,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-00305,لمن عزيز لك يكون في المستشفى يصير كل اتصال مرعب 💔 😔,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-02831,هندسة المنصورة مكان ابن وسخة و لاجدال على ذلك . و احنا دفعة جبانة ولا جدال على ذلك ..  بدليل ان الاراء  الفشيخة بتاعتنا مش بتطلع غير ع تويتر,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-00714,انا لو جبت عشره معايا هلعب احسن من المناخب ميت مره يا رب صبرنا عالمنتخب ال...😠😠😠😠😠,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sent-310,"""تعلم كيفية ارسال رسالة فى بريد الجميل فى جوجل https://t.co/Bi0XrsMNIO https://t.co/o3SNH1Zevc""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-03112,اذا مر عليكم موقف كريه كيف تحاولون تنسونه وبالمقابل هو اكبر مخاوفكم 💔 😓,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-Ar-03766,@BUKVB الكهرب طافي له ساعتين ودرجة الحرارة ٤٦ شركة الكهرب مايحسون ذولا فيه احد يطفي الكهرب الظهر 😡,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-03320,@NadeenOdeh2 😂😂😂😂 منبسطة ع شو يا عالم يا ناس ايش صايرلكم لا دين صح ولا حياه صح استغفرالله بس الله يجيرنا من الآخرة,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-03417,عندي فوبيا من انواع منهم بس بس متأكد ال بيحب تربيتهم يحس ال بتقولي عليه أكتر طبعا وأن في بشر مش محصلين كلاب حتى 😃 👌,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-Ar-03539,تنهيدة صبر داخلها ألف كلمه وألف فقد وألف حاجه م تنوصف 💓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2018-Ar-02110,كل من حاولوا المكر بصالح كانت نهاية مكرهم مخزية وانتهى بهم المطاف الى العهر السياسي والوطني وهاهم يجنون ما عملوا واسروالنجوى للنيل من صالح,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2018-Ar-00346,هذا يبكي لا تشجعون هذا السخيف وامثاله على أذية مخلوقات الله باعتبارها مضحكه,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sent-62,"""بوب ديلان اعتذر عن حضور الحفل بسبب 'ارتباطات أخرى'.المزيد على https://t.co/4rIEProF9X https://t.co/l9dGFk6UuV""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-02013,القلق لا يمنع الم الغد ولكن يسرق متعة اليوم,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Sent-1469,"""سواء مختلطه او مُش مختلطه باقي عليها ٣ ايام ، لا تنسوا. #ماذا_لو_المدارس_مختلطه""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-00790,قمة الراحة النفسية لم تشوف علي خان يغرد ^ ياخي تحس بسعاده ابديه موو,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sent-358,"""RT @FCBW_A7: جوردي كرويف ( إبن يوهان كرويف ) : أبي تأثر جدا من ركلة الجزاء التي سجلها ميسي و سواريز ، كانت لحظة فخر بالنسبة له""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-03820,"هتلاقى نفسك فيوم محطوط فموقف انك ممكن توجع شخص نفس الوجع اللى انت حسيته زمان,ربنا بيشوفك مش هترضاها لغيرك ولا هتدوس عليه و تشفى غليلك",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-Ar-03682,@F1408a هههههههههههه\nالله يسعدك أم حمود ضحكت من قلب..\nصباحك #سعادة ي الغلا,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-01015,ليس لنا في هذا الوطن إلا الحزن والحداد,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2018-Ar-01211,@HAzem_WaHDan يلا بقي الفرحه بتعمل اكتر من كدا 😂😂,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-02727,والله مستوى اليونايتد مثير للشفقة هذا مو فريق كرة قدم,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Sent-456,"""#الولايات_المتحدة احتجاز صحفى كندى كان يتجه لموقع الاحتجاجات على مد خط البترول فى نورث الولايات المتحدةداكوتا لمدة6 ساعات يثير المخ… https://t.co/eUfMEYMV2n""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-00503,عندي فوبيا من الحيوانات كلها بلا استثناء وخاصه الحشرات وفوبيا من الثقوب اول مره شفتها جلست يومين مانمت كره مو طبيعي,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2018-Ar-01451,قالت لي #صديقة أنت #جميلة حين تبتسمي وهناك شخص يخشى أن تحزني كوني سعيدة ف #عيناك تصبح أجمل حين تفرحي وهاأنا #سعيدة بتطبيق نصيحتها 💕,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sent-773,#فيلم_نفسك_تعيش_قصته #___,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sent-1147,قتلوا وحرقوا وأصابوا واعتقلوا ولاحقوا وطردوا واهانوا وشوهوا كل الشرفاء، كلنا غداً في الشارع احشد ٣٠ أغسطس لإسقاط الانقلاب,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-02027,ليش يا شيخ كل كلامك عقاب وعذاب ونار ترى الدين ترهيب وترغيب رحمة وحزم مو كله عقاب ونار جهنم أخاف انك توسوس أو تغتر انك فاهم,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-Ar-00250,لأول مره اعيش رهبة خوف حزن واقعي انكسار ما ينجبر فقدان اعز ما عندي دموع امي و ابوي و اخواني يارب الطف بقلب كل فاقد,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-Ar-01179,@yellow1010101 @s_almogren مبسوطين ولله الحمد والمنه ولا حاسين بنقص ولا غمه \nالله يطول في اعمار حكامنا مش مخلينا محتاجين لحد,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-01319,ماهو غضبي مش هيمتص نفسه يعني,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sent-1120,"""#واشنطن تتهم 12 ضابطا سورياً بالضلوع في هجمات على المدنيينفقط و كلاب الروافض خارج النطاق""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sent-838,لحالك https://t.co/YwrHfFtQap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-00513,@KHALED_Z_KSA_24 مسلسل مدري كيف نجح وكيف الى الان ينعرض كمية من العنف والهمجيه والوصاخه \n#شباب_البومب,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-01088,#فرحه_قلبك_تتمثل_في فرحة حد بحبه اكيد,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-01889,راجعت و الدكتور قالتلي عندك احتقان فالدموع ، جديدة هذي ؟,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Sent-589,"""ماذا تضمنت رسالة الرئيس عون الى السيسي؟https://t.co/lPHNQRGK3W#لبنان #مصر https://t.co/ynnV4B6GsB""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-02598,أن تحبيني أنتِ مخيره لا مجبره 😁 \nأن تحترميني فأنتِ مجبره لا مخيره 😀 .,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2018-Ar-01759,الله لا يجعلكم تجربون وجع القلب،قد ايش يهلكّ.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-Ar-03815,يابنت الغيم والقمرة يا أخت الورد والأزهار ملاك الزين لين أصبح يظن مرايتك داره 💕 💘,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-Ar-02100,وشو حانق,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-01725,اللهم ارحم حبيبتي بقدر ما بكيت لفقدها يارب صبر قلبي إلى أن ألقاها في جنتك 💔,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-Ar-01364,يارب خذني بعيداً عن كسرة الخاطر عن التعب عن هموم عابره وعن كل شي يخطف فرحتي..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Sent-1117,"""@HebaAssem95 او نعمل سرش على جوجل😂""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sent-453,تؤكد لي الردود ان بعض الأخوة يعتقدون فعلا انهم الاسلام وانك اذا لم توافقهم فانت عدو للإسلام لا مساحة لديهم في ان تحب الاسلام وتختلف معهم,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-01693,اخذت حبتين منوم و دحين احس قلبي حيطلع من قوة الخفقان 💔💔💔💔!!,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-Ar-02745,@rujeno_ مااتوقع توصل لهدرجه وبالنسبه للخوف اول تجربه بتعتبر مرعبه للي راح يجرب هو مو شي اكيد لكن للاغلب.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-02339,مبحبش حد يستفزنى بقي هااااااا 😒👊,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-00682,#عفاريت_عدلي_علام صحيح المسلسل حلووو بس ليش #رعب !!!!؟\n😱😱😱😱😱😱😱😱👻👻👻👻👻👻👻👻👻👻👻👻\n\nاحنا تعودنا يكون كوميدي 😭,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-00696,"أحيان تكون مُجبر أن تدير ظهرك للبعض مو تكبر وإنما خشية التعارك مع صغار العقول، قيل في المثل: ""علاج الجاهل التجاهل""",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-03436,شوفت مشهد من مسلسل اسمه #كفر_دلهاب \nبطل المسلسل رايح للساحر ولما الساحر طلعلوا من جوه بيسئلوا انت الساحر ؟\nلا انا ابو جلنبوا 😂😂😂\n#رعب_مصري,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-Ar-01760,انا عندي خوف منها حتى موعد الاسنان يجيني خفقان واخاف,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sent-196,"""RT @RotanaMagz: بين #نوت7 و #آيفون7 عنصر مشترك!!https://t.co/WY32OzQFve#روتانا #تكنولوجيا""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-04089,وأنت في الحقيقة ليس الا انسان متقرفص في غرفتك بائس هلع ترتدي نظارتك تحمل كتابك وتناول الشاورما يسبب يقلب كبدك ومعدتك,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2018-Ar-01195,إنقطاع  في التيار الكهربائي   بحي القادسية  بتبوك   دام ساعتين  وبعد عودة  التيار   تذبذب بشكل عالي  إلى حد الآن  والاجهزه  بحالة  هستيريا,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sent-946,"""#فتح و #حماس تؤكدان توقف لقاءات #المصالحة_الفلسطينية#وكالة_مجال_الاخبارية https://t.co/8WaP194qTO""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-00075,يقهر صرراحة وين المتعه من تخوف هذا الكائن اللطيف اكرره هذا النوع من المقاطع متى صار تخويف الناس ممتع من جد قهرني 😤,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-Ar-00950,يخيفك ان يضيع عليك إيمانك هذه المخاوف هي أدلة ضعف العبد وعنايته عل الله بهذا أن يرحمه ويبقي عليه ما رزقه من عطاياه الإيمانية,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-01260,#دموع_الشريان قصتها حزينه والحمد لله جمعها الله مع اهلها لكن انا مابكني الا داود والله,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-Ar-01493,اراها بوضوح يا تركي كرستيانو يبكي حسرة وندم على الخسارة اليوم,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-Ar-00893,@abdulrahmansaee واضح ان الكل حانق على اللجنة والاختيارات من اول ما طلعت كانت واضحة 🙂 لكن وش تقول,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-01157,جننت اختي الكبيره اقولها ابغى اطبخ ابغى اطبخ اديني الوصفه حقتك وعلى اساس اليوم اسوي الفطور واختي الي راحت تطبخ قلت لها انا اسوى 😭😭😭😭,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Sent-606,"""#MannequinChallenge داير حالة""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sent-353,وزير العمل الفلسطيني مأمون أبو شهلا: برنامج لتشغيل . 20 ألف عامل وخريج. بشكل مؤقت في قطاع غزة، سيطبق مطلع العام… https://t.co/QeG5bnF9wY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-00033,"غادرت صديقتي الحياة فجأه بحادث مروع فاأصبح هذا السؤال اكثر الحاحا من ذي قبل ""متى سأغادر وكيف سأغادر "" يارب أعوذ بك من موت الفجأة",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2018-Ar-03875,للاسف ماكنت قضيه مغريه ل انتقم منك انت حدث تافه مايغوي خبثي حتى 😌 👋 🏻,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-01767,بعض من الناس هرمونات الحيونة والجحشنة عندها زيادة ما بعرف انو احنا بشهر فضيل..😡\n#رفعت_الجلسة 😏 - يشعر بـنفاذ صبره,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-01338,كأنها نهاية العاااالم انو جاكيتك يكون بيعد عنك 😤💔😒,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-Ar-02850,"#أتفنن في إخفاء ؛ #حزني وتمثيل السعادة لأقتل نفسي صمتا """,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-Ar-02316,قالت انو ردة فعلها مذعوره ؟ بالعقل مذعوره بتقولين اتوسل اليك وسامحني 🙁 ماابي اسيء الظن بس العقل مش راضي ينضحك عليه 🙂💔  #سامحينا_يا_غدير,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Sent-206,وكلُّ أمرٍ له وقتٌ وتدبيرُ..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sent-759,ديميكليس هذا مفترض لا يلعب ، صديق ميسي .موساتشيو ليس مدافع يسار ومايدانا وغاراي افضل،لا اعرف لماذا ميسي مستبعد غاراي.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-Ar-01422,عندي وسواس من كل اشي أعوج  😐\nمستحيييل اشوف اشي اعوج وما اعدلو\nوخصوصا الصور الي بصورها لازم تكون بالملم 👌\nلدرجة اني شريت كاميرا فيها ميزان.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-Ar-03094,محد يحس بالجمود بالحياة للي بداخلِك،بالعُتمة للي بدأت تستحل حلاوّة ايامِك،بلا صاحب بلا بطيخ .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Sent-1316,🔴مندوب فلسطين الدائم لدى الامم المتحدة السفير رياض منصور : بعثة فلسطين بصدد تحضير مذكرات لمجلس الامن، والامين العام للأمم المتحدة،,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sent-343,"""طقس العرب يتوقع زخات رعدية في #الاردن اليوم و تساقط ثلوج ليل غدا https://t.co/DdGujnTJdW""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sent-1224,امس الجمعة اول يوم فحياتي يكون حلو مره وبدون مصايب,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sent-1057,القضاء الطبيعى -من خلال تخصيص دوائر إضافية- يستطيع إنفاذ العدالة دون حاجة لمحاكم استثنائية، عسكرية أو أمن دولة طوارئ # #,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
